KEYS,en_US,zh_CN,zh_TW,ja_JP,ko_KR,de_DE,fr_FR,es_ES,it_IT
cargo_path,cargo path,cargo路径,cargo路徑,貨物経路,화물 경로,Frachtweg,voie de fret,ruta de carga,percorso di carico
godot_path,godot path,godot路径,godot路徑,ゴドーの道,고도 경로,Godot-Pfad,chemin godot,Camino de Godot,percorso di Godot
compiling_rust,Compiling Rust...,正在编译..rust...,正在編譯..rust...,Rustをコンパイルしています...,Rust 컴파일 중...,Rust wird kompiliert...,Compilation de Rust...,Compilando Rust...,Compilazione di Rust...
starting_godot,Starting .godot...,正在启动.godot..,正在啟動.godot..,.godot を起動しています...,.godot 시작 중...,Starte .godot...,Démarrage de .godot...,Iniciando .godot...,Inizio .godot...
version_information,Version information,版本信息,版本資訊,バージョン情報,버전 정보,Versionsinformationen,Informations sur la version,Información de la versión,Informazioni sulla versione
instructions_for_use,Instructions for use,使用说明,使用說明,使用説明書,사용 설명서,Gebrauchsanweisung,Instructions d'utilisation,Instrucciones de uso,Istruzioni per l'uso
help_documentation,Help documentation,帮助文档,幫助文檔,ヘルプドキュメント,도움말 문서,Hilfedokumentation,Documentation d'aide,Documentación de ayuda,Documentazione di supporto
contact_the_author,Contact the author,联系作者,聯繫作者,著者に連絡する,저자에게 연락하세요,Kontaktieren Sie den Autor,Contacter l'auteur,Contacta con el autor,Contatta l'autore
current_version,Current version,当前版本,目前版本,現在のバージョン,현재 버전,Aktuelle Version,Version actuelle,Versión actual,Versione attuale
email_address,Email address,邮箱地址,郵件地址,電子メールアドレス,이메일 주소,E-Mail-Adresse,Adresse email,Dirección de correo electrónico,Indirizzo e-mail
minimize_window,Minimize window,最小化窗口,最小化視窗,ウィンドウを最小化する,창 최소화,Fenster minimieren,Réduire la fenêtre,Minimizar ventana,Riduci a icona la finestra
exit_program,Exit Program,退出程序,退出程序,退出プログラム,퇴학 프로그램,Ausstiegsprogramm,Sortie du programme,Programa de salida,Programma di uscita
set_language,Set language,设置语言,設定語言,言語を設定,언어 설정,Sprache festlegen,Définir la langue,Establecer idioma,Imposta la lingua
